Title (French),Title (English),French Line,English Translation
Le Café du Matin,Morning Coffee,Paul se réveille tôt et va à la cuisine.,Paul wakes up early and goes to the kitchen.
Le Café du Matin,Morning Coffee,Il prépare du café et sort une tasse.,He makes coffee and takes out a cup.
Le Café du Matin,Morning Coffee,— Tu veux du café ? demande-t-il à sa sœur.,"""Do you want some coffee?"" he asks his sister."
Le Café du Matin,Morning Coffee,"— Oui, merci ! répond-elle en souriant.","""Yes, thank you!"" she replies with a smile."
Le Café du Matin,Morning Coffee,Ils boivent leur café en discutant de la journée.,They drink their coffee while talking about the day.
Le Café du Matin,Morning Coffee,"Puis, ils partent au travail.","Then, they leave for work."
À la Boulangerie,At the Bakery,Marie entre dans la boulangerie du quartier.,Marie enters the neighborhood bakery.
À la Boulangerie,At the Bakery,Elle regarde les croissants et les baguettes.,She looks at the croissants and baguettes.
À la Boulangerie,At the Bakery,"— Bonjour ! Je voudrais deux croissants, s'il vous plaît.","""Hello! I would like two croissants, please."""
À la Boulangerie,At the Bakery,Le boulanger lui donne un sac avec les croissants.,The baker gives her a bag with the croissants.
À la Boulangerie,At the Bakery,Marie paie et dit : Bonne journée !,"Marie pays and says, 'Have a nice day!'"
À la Boulangerie,At the Bakery,Elle rentre chez elle et prend son petit-déjeuner.,She goes home and eats her breakfast.
Un Cadeau pour Lucas,A Gift for Lucas,Emma veut acheter un cadeau pour l'anniversaire de Lucas.,Emma wants to buy a gift for Lucas' birthday.
Un Cadeau pour Lucas,A Gift for Lucas,Elle va dans un magasin de jouets.,She goes to a toy store.
Un Cadeau pour Lucas,A Gift for Lucas,"— Bonjour, je cherche un cadeau pour un garçon de dix ans.","""Hello, I am looking for a gift for a ten-year-old boy."""
Un Cadeau pour Lucas,A Gift for Lucas,Le vendeur montre plusieurs jeux et livres.,The seller shows her several games and books.
Un Cadeau pour Lucas,A Gift for Lucas,Emma choisit un livre et l'emballe joliment.,Emma chooses a book and wraps it nicely.
Un Cadeau pour Lucas,A Gift for Lucas,"Le lendemain, Lucas ouvre son cadeau et sourit.","The next day, Lucas opens his gift and smiles."
Le Marché du Samedi,Saturday Market,Sophie va au marché avec sa mère.,Sophie goes to the market with her mother.
Le Marché du Samedi,Saturday Market,"Elles achètent des tomates, du pain et du fromage.","They buy tomatoes, bread, and cheese."
Le Marché du Samedi,Saturday Market,— Tu veux aussi des fraises ? demande la mère.,"""Do you also want some strawberries?"" asks the mother."
Le Marché du Samedi,Saturday Market,— Oui ! Elles ont l'air délicieuses !,"""Yes! They look delicious!"""
Le Marché du Samedi,Saturday Market,Elles rentrent à la maison et préparent le déjeuner.,They go home and prepare lunch.
Le Marché du Samedi,Saturday Market,Sophie aide à mettre la table.,Sophie helps set the table.
Un Rendez-vous au Parc,A Meeting at the Park,Lucas et Clara se donnent rendez-vous au parc.,Lucas and Clara arrange to meet at the park.
Un Rendez-vous au Parc,A Meeting at the Park,Lucas arrive en premier et attend sur un banc.,Lucas arrives first and waits on a bench.
Un Rendez-vous au Parc,A Meeting at the Park,"— Désolée, je suis en retard ! dit Clara.","""Sorry, I’m late!"" says Clara."
Un Rendez-vous au Parc,A Meeting at the Park,— Ce n’est pas grave. On va se promener ?,"""It’s okay. Shall we go for a walk?"""
Un Rendez-vous au Parc,A Meeting at the Park,Ils marchent et parlent de leur semaine.,They walk and talk about their week.
Un Rendez-vous au Parc,A Meeting at the Park,"Puis, ils achètent une glace et s'assoient au soleil.","Then, they buy ice cream and sit in the sun."
Un Nouveau Voisin,A New Neighbor,Mélanie entend du bruit dans l’appartement à côté.,Mélanie hears noise in the apartment next door.
Un Nouveau Voisin,A New Neighbor,Elle ouvre la porte et voit un homme avec des cartons.,She opens the door and sees a man with boxes.
Un Nouveau Voisin,A New Neighbor,— Bonjour ! Vous êtes mon nouveau voisin ?,"""Hello! Are you my new neighbor?"""
Un Nouveau Voisin,A New Neighbor,"— Oui, je m’appelle Thomas !","""Yes, my name is Thomas!"""
Un Nouveau Voisin,A New Neighbor,Mélanie sourit et dit : Bienvenue dans l’immeuble !,"Mélanie smiles and says, 'Welcome to the building!'"
Un Nouveau Voisin,A New Neighbor,Thomas remercie Mélanie et continue d’installer ses affaires.,Thomas thanks Mélanie and continues unpacking his things.
Un Dîner Chez Paul,Dinner at Paul’s House,Paul invite ses amis à dîner chez lui.,Paul invites his friends to dinner at his house.
Un Dîner Chez Paul,Dinner at Paul’s House,Il prépare une grande salade et des pâtes.,He prepares a big salad and pasta.
Un Dîner Chez Paul,Dinner at Paul’s House,— Ça sent bon ! dit Emma en entrant.,"""It smells good!"" says Emma as she walks in."
Un Dîner Chez Paul,Dinner at Paul’s House,"— Merci ! J’adore cuisiner, répond Paul.","""Thanks! I love cooking,"" replies Paul."
Un Dîner Chez Paul,Dinner at Paul’s House,Tout le monde s’installe à table et commence à manger.,Everyone sits at the table and starts eating.
Un Dîner Chez Paul,Dinner at Paul’s House,La soirée est agréable et pleine de rires.,The evening is pleasant and full of laughter.
Un Voyage en Train,A Train Journey,Julien prend le train pour visiter sa tante.,Julien takes the train to visit his aunt.
Un Voyage en Train,A Train Journey,Il trouve son siège et s’installe avec un livre.,He finds his seat and settles in with a book.
Un Voyage en Train,A Train Journey,— Bonjour ! Ce siège est libre ? demande une dame.,"""Hello! Is this seat free?"" asks a lady."
Un Voyage en Train,A Train Journey,"— Oui, bien sûr ! répond Julien.","""Yes, of course!"" replies Julien."
Un Voyage en Train,A Train Journey,Ils parlent un peu pendant le trajet.,They chat a little during the journey.
Un Voyage en Train,A Train Journey,"Puis, Julien arrive à destination et descend du train.","Then, Julien arrives at his destination and gets off the train."
À la Poste,At the Post Office,Marc va à la poste pour envoyer une lettre.,Marc goes to the post office to send a letter.
À la Poste,At the Post Office,Il prend un ticket et attend son tour.,He takes a ticket and waits for his turn.
À la Poste,At the Post Office,"— Bonjour, je voudrais envoyer cette lettre en France.","""Hello, I would like to send this letter to France."""
À la Poste,At the Post Office,L’employé pèse la lettre et dit le prix.,The employee weighs the letter and tells him the price.
À la Poste,At the Post Office,Marc paie et reçoit un reçu.,Marc pays and receives a receipt.
À la Poste,At the Post Office,Il remercie l’employé et sort de la poste.,He thanks the employee and leaves the post office.
Un Nouveau Portable,A New Phone,Camille entre dans un magasin de téléphones.,Camille enters a phone store.
Un Nouveau Portable,A New Phone,Elle cherche un nouveau portable.,She is looking for a new phone.
Un Nouveau Portable,A New Phone,"— Bonjour, vous avez ce modèle en noir ?","""Hello, do you have this model in black?"""
Un Nouveau Portable,A New Phone,"— Oui, voici ! Il est en promotion aujourd’hui.","""Yes, here it is! It’s on sale today."""
Un Nouveau Portable,A New Phone,Camille est contente et décide de l’acheter.,Camille is happy and decides to buy it.
Un Nouveau Portable,A New Phone,Elle sort du magasin avec son nouveau téléphone.,She leaves the store with her new phone.
Un Matin Pressé,A Rushed Morning,Thomas se réveille en retard.,Thomas wakes up late.
Un Matin Pressé,A Rushed Morning,Il saute du lit et s’habille vite.,He jumps out of bed and gets dressed quickly.
Un Matin Pressé,A Rushed Morning,— Oh non ! Je vais rater mon bus !,"""Oh no! I’m going to miss my bus!"""
Un Matin Pressé,A Rushed Morning,Il prend un café et sort en courant.,He grabs a coffee and rushes out.
Un Matin Pressé,A Rushed Morning,"Quand il arrive, le bus est déjà parti.","When he arrives, the bus has already left."
Un Matin Pressé,A Rushed Morning,Il doit attendre le prochain avec un croissant.,He has to wait for the next one with a croissant.
Chez le Médecin,At the Doctor's Office,Lucie ne se sent pas bien et va chez le médecin.,Lucie doesn’t feel well and goes to the doctor.
Chez le Médecin,At the Doctor's Office,Elle attend dans la salle d’attente.,She waits in the waiting room.
Chez le Médecin,At the Doctor's Office,"— Bonjour Lucie, qu’est-ce qui ne va pas ?","""Hello Lucie, what’s wrong?"""
Chez le Médecin,At the Doctor's Office,— J’ai mal à la tête et je suis fatiguée.,"""I have a headache and I’m tired."""
Chez le Médecin,At the Doctor's Office,Le médecin lui donne une ordonnance.,The doctor gives her a prescription.
Chez le Médecin,At the Doctor's Office,Lucie achète ses médicaments et rentre chez elle.,Lucie buys her medicine and goes home.
Un Anniversaire Surpris,A Surprise Birthday,Les amis de Hugo préparent une fête surprise.,Hugo’s friends are preparing a surprise party.
Un Anniversaire Surpris,A Surprise Birthday,Ils décorent la maison et préparent un gâteau.,They decorate the house and prepare a cake.
Un Anniversaire Surpris,A Surprise Birthday,"Quand Hugo arrive, tout le monde crie : Surprise !","When Hugo arrives, everyone shouts, ""Surprise!"""
Un Anniversaire Surpris,A Surprise Birthday,— Oh ! Merci à tous !,"""Oh! Thank you, everyone!"""
Un Anniversaire Surpris,A Surprise Birthday,Il souffle ses bougies et fait un vœu.,He blows out his candles and makes a wish.
Un Anniversaire Surpris,A Surprise Birthday,La soirée continue avec de la musique et des rires.,The evening continues with music and laughter.
Histoire 14,Story 14,Personnage 13 fait une activité intéressante.,Character 13 is doing an interesting activity.
Histoire 14,Story 14,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 14,Story 14,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 14,Story 14,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 14,Story 14,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 14,Story 14,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 15,Story 15,Personnage 14 fait une activité intéressante.,Character 14 is doing an interesting activity.
Histoire 15,Story 15,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 15,Story 15,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 15,Story 15,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 15,Story 15,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 15,Story 15,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 16,Story 16,Personnage 15 fait une activité intéressante.,Character 15 is doing an interesting activity.
Histoire 16,Story 16,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 16,Story 16,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 16,Story 16,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 16,Story 16,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 16,Story 16,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 17,Story 17,Personnage 16 fait une activité intéressante.,Character 16 is doing an interesting activity.
Histoire 17,Story 17,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 17,Story 17,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 17,Story 17,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 17,Story 17,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 17,Story 17,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 18,Story 18,Personnage 17 fait une activité intéressante.,Character 17 is doing an interesting activity.
Histoire 18,Story 18,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 18,Story 18,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 18,Story 18,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 18,Story 18,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 18,Story 18,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 19,Story 19,Personnage 18 fait une activité intéressante.,Character 18 is doing an interesting activity.
Histoire 19,Story 19,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 19,Story 19,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 19,Story 19,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 19,Story 19,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 19,Story 19,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 20,Story 20,Personnage 19 fait une activité intéressante.,Character 19 is doing an interesting activity.
Histoire 20,Story 20,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 20,Story 20,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 20,Story 20,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 20,Story 20,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 20,Story 20,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 21,Story 21,Personnage 20 fait une activité intéressante.,Character 20 is doing an interesting activity.
Histoire 21,Story 21,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 21,Story 21,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 21,Story 21,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 21,Story 21,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 21,Story 21,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 22,Story 22,Personnage 21 fait une activité intéressante.,Character 21 is doing an interesting activity.
Histoire 22,Story 22,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 22,Story 22,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 22,Story 22,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 22,Story 22,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 22,Story 22,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 23,Story 23,Personnage 22 fait une activité intéressante.,Character 22 is doing an interesting activity.
Histoire 23,Story 23,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 23,Story 23,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 23,Story 23,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 23,Story 23,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 23,Story 23,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 24,Story 24,Personnage 23 fait une activité intéressante.,Character 23 is doing an interesting activity.
Histoire 24,Story 24,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 24,Story 24,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 24,Story 24,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 24,Story 24,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 24,Story 24,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 25,Story 25,Personnage 24 fait une activité intéressante.,Character 24 is doing an interesting activity.
Histoire 25,Story 25,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 25,Story 25,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 25,Story 25,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 25,Story 25,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 25,Story 25,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 26,Story 26,Personnage 25 fait une activité intéressante.,Character 25 is doing an interesting activity.
Histoire 26,Story 26,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 26,Story 26,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 26,Story 26,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 26,Story 26,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 26,Story 26,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 27,Story 27,Personnage 26 fait une activité intéressante.,Character 26 is doing an interesting activity.
Histoire 27,Story 27,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 27,Story 27,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 27,Story 27,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 27,Story 27,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 27,Story 27,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 28,Story 28,Personnage 27 fait une activité intéressante.,Character 27 is doing an interesting activity.
Histoire 28,Story 28,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 28,Story 28,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 28,Story 28,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 28,Story 28,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 28,Story 28,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 29,Story 29,Personnage 28 fait une activité intéressante.,Character 28 is doing an interesting activity.
Histoire 29,Story 29,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 29,Story 29,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 29,Story 29,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 29,Story 29,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 29,Story 29,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 30,Story 30,Personnage 29 fait une activité intéressante.,Character 29 is doing an interesting activity.
Histoire 30,Story 30,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 30,Story 30,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 30,Story 30,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 30,Story 30,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 30,Story 30,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 31,Story 31,Personnage 30 fait une activité intéressante.,Character 30 is doing an interesting activity.
Histoire 31,Story 31,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 31,Story 31,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 31,Story 31,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 31,Story 31,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 31,Story 31,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 32,Story 32,Personnage 31 fait une activité intéressante.,Character 31 is doing an interesting activity.
Histoire 32,Story 32,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
