Title (French),Title (English),French Line,English Translation
Histoire 66,Story 66,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 66,Story 66,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 67,Story 67,Personnage 66 fait une activité intéressante.,Character 66 is doing an interesting activity.
Histoire 67,Story 67,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 67,Story 67,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 67,Story 67,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 67,Story 67,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 67,Story 67,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 68,Story 68,Personnage 67 fait une activité intéressante.,Character 67 is doing an interesting activity.
Histoire 68,Story 68,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 68,Story 68,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 68,Story 68,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 68,Story 68,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 68,Story 68,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 69,Story 69,Personnage 68 fait une activité intéressante.,Character 68 is doing an interesting activity.
Histoire 69,Story 69,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 69,Story 69,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 69,Story 69,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 69,Story 69,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 69,Story 69,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 70,Story 70,Personnage 69 fait une activité intéressante.,Character 69 is doing an interesting activity.
Histoire 70,Story 70,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 70,Story 70,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 70,Story 70,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 70,Story 70,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 70,Story 70,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 71,Story 71,Personnage 70 fait une activité intéressante.,Character 70 is doing an interesting activity.
Histoire 71,Story 71,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 71,Story 71,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 71,Story 71,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 71,Story 71,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 71,Story 71,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 72,Story 72,Personnage 71 fait une activité intéressante.,Character 71 is doing an interesting activity.
Histoire 72,Story 72,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 72,Story 72,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 72,Story 72,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 72,Story 72,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 72,Story 72,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 73,Story 73,Personnage 72 fait une activité intéressante.,Character 72 is doing an interesting activity.
Histoire 73,Story 73,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 73,Story 73,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 73,Story 73,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 73,Story 73,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 73,Story 73,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 74,Story 74,Personnage 73 fait une activité intéressante.,Character 73 is doing an interesting activity.
Histoire 74,Story 74,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 74,Story 74,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 74,Story 74,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 74,Story 74,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 74,Story 74,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 75,Story 75,Personnage 74 fait une activité intéressante.,Character 74 is doing an interesting activity.
Histoire 75,Story 75,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 75,Story 75,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 75,Story 75,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 75,Story 75,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 75,Story 75,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 76,Story 76,Personnage 75 fait une activité intéressante.,Character 75 is doing an interesting activity.
Histoire 76,Story 76,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 76,Story 76,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 76,Story 76,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 76,Story 76,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 76,Story 76,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 77,Story 77,Personnage 76 fait une activité intéressante.,Character 76 is doing an interesting activity.
Histoire 77,Story 77,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 77,Story 77,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 77,Story 77,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 77,Story 77,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 77,Story 77,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 78,Story 78,Personnage 77 fait une activité intéressante.,Character 77 is doing an interesting activity.
Histoire 78,Story 78,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 78,Story 78,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 78,Story 78,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 78,Story 78,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 78,Story 78,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 79,Story 79,Personnage 78 fait une activité intéressante.,Character 78 is doing an interesting activity.
Histoire 79,Story 79,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 79,Story 79,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 79,Story 79,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 79,Story 79,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 79,Story 79,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 80,Story 80,Personnage 79 fait une activité intéressante.,Character 79 is doing an interesting activity.
Histoire 80,Story 80,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 80,Story 80,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 80,Story 80,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 80,Story 80,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 80,Story 80,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 81,Story 81,Personnage 80 fait une activité intéressante.,Character 80 is doing an interesting activity.
Histoire 81,Story 81,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 81,Story 81,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 81,Story 81,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 81,Story 81,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 81,Story 81,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 82,Story 82,Personnage 81 fait une activité intéressante.,Character 81 is doing an interesting activity.
Histoire 82,Story 82,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 82,Story 82,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 82,Story 82,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 82,Story 82,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 82,Story 82,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 83,Story 83,Personnage 82 fait une activité intéressante.,Character 82 is doing an interesting activity.
Histoire 83,Story 83,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 83,Story 83,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 83,Story 83,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 83,Story 83,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 83,Story 83,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 84,Story 84,Personnage 83 fait une activité intéressante.,Character 83 is doing an interesting activity.
Histoire 84,Story 84,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 84,Story 84,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 84,Story 84,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 84,Story 84,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 84,Story 84,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 85,Story 85,Personnage 84 fait une activité intéressante.,Character 84 is doing an interesting activity.
Histoire 85,Story 85,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 85,Story 85,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 85,Story 85,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 85,Story 85,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 85,Story 85,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 86,Story 86,Personnage 85 fait une activité intéressante.,Character 85 is doing an interesting activity.
Histoire 86,Story 86,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 86,Story 86,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 86,Story 86,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 86,Story 86,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 86,Story 86,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 87,Story 87,Personnage 86 fait une activité intéressante.,Character 86 is doing an interesting activity.
Histoire 87,Story 87,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 87,Story 87,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 87,Story 87,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 87,Story 87,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 87,Story 87,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 88,Story 88,Personnage 87 fait une activité intéressante.,Character 87 is doing an interesting activity.
Histoire 88,Story 88,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 88,Story 88,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 88,Story 88,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 88,Story 88,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 88,Story 88,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 89,Story 89,Personnage 88 fait une activité intéressante.,Character 88 is doing an interesting activity.
Histoire 89,Story 89,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 89,Story 89,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 89,Story 89,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 89,Story 89,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 89,Story 89,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 90,Story 90,Personnage 89 fait une activité intéressante.,Character 89 is doing an interesting activity.
Histoire 90,Story 90,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 90,Story 90,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 90,Story 90,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 90,Story 90,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 90,Story 90,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 91,Story 91,Personnage 90 fait une activité intéressante.,Character 90 is doing an interesting activity.
Histoire 91,Story 91,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 91,Story 91,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 91,Story 91,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 91,Story 91,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 91,Story 91,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 92,Story 92,Personnage 91 fait une activité intéressante.,Character 91 is doing an interesting activity.
Histoire 92,Story 92,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 92,Story 92,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 92,Story 92,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 92,Story 92,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 92,Story 92,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 93,Story 93,Personnage 92 fait une activité intéressante.,Character 92 is doing an interesting activity.
Histoire 93,Story 93,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 93,Story 93,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 93,Story 93,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 93,Story 93,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 93,Story 93,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 94,Story 94,Personnage 93 fait une activité intéressante.,Character 93 is doing an interesting activity.
Histoire 94,Story 94,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 94,Story 94,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 94,Story 94,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 94,Story 94,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 94,Story 94,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 95,Story 95,Personnage 94 fait une activité intéressante.,Character 94 is doing an interesting activity.
Histoire 95,Story 95,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 95,Story 95,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 95,Story 95,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 95,Story 95,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 95,Story 95,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 96,Story 96,Personnage 95 fait une activité intéressante.,Character 95 is doing an interesting activity.
Histoire 96,Story 96,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 96,Story 96,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 96,Story 96,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 96,Story 96,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 96,Story 96,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 97,Story 97,Personnage 96 fait une activité intéressante.,Character 96 is doing an interesting activity.
Histoire 97,Story 97,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 97,Story 97,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 97,Story 97,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 97,Story 97,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 97,Story 97,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 98,Story 98,Personnage 97 fait une activité intéressante.,Character 97 is doing an interesting activity.
Histoire 98,Story 98,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 98,Story 98,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 98,Story 98,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 98,Story 98,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 98,Story 98,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 99,Story 99,Personnage 98 fait une activité intéressante.,Character 98 is doing an interesting activity.
Histoire 99,Story 99,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 99,Story 99,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 99,Story 99,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 99,Story 99,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 99,Story 99,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
Histoire 100,Story 100,Personnage 99 fait une activité intéressante.,Character 99 is doing an interesting activity.
Histoire 100,Story 100,Il/Elle rencontre une autre personne et discute.,They meet another person and talk.
Histoire 100,Story 100,— Quelle belle journée !,"""What a beautiful day!"""
Histoire 100,Story 100,"— Oui, c'est parfait pour une promenade.","""Yes, it is perfect for a walk."""
Histoire 100,Story 100,Ils passent du temps ensemble et s'amusent.,They spend time together and have fun.
Histoire 100,Story 100,"A la fin, ils rentrent chez eux avec un sourire.","In the end, they go home with a smile."
